name,code,type,line,serial
EUNOS,EW7,MRT,EW,7
CHINESE GARDEN,EW25,MRT,EW,25
KHATIB,NS14,MRT,NS,14
KRANJI,NS7,MRT,NS,7
REDHILL,EW18,MRT,EW,18
YEW TEE,NS5,MRT,NS,5
PIONEER,EW28,MRT,EW,28
COMMONWEALTH,EW20,MRT,EW,20
PAYA LEBAR,EW8,MRT,EW,8
PAYA LEBAR,CC9,MRT,CC,9
SIMEI,EW3,MRT,EW,3
TAMPINES,EW2,MRT,EW,2
TAMPINES,DT32,MRT,DT,32
ADMIRALTY,NS10,MRT,NS,10
YISHUN,NS13,MRT,NS,13
PASIR RIS,EW1,MRT,EW,1
CLEMENTI,EW23,MRT,EW,23
ALJUNIED,EW9,MRT,EW,9
ANG MO KIO,NS16,MRT,NS,16
EXPO,CG1,MRT,CG,1
EXPO,DT35,MRT,DT,35
CHOA CHU KANG,NS4,MRT,NS,4
JURONG EAST,EW24,MRT,EW,24
JURONG EAST,NS1,MRT,NS,1
QUEENSTOWN,EW19,MRT,EW,19
TUAS LINK,EW33,MRT,EW,33
GUL CIRCLE,EW30,MRT,EW,30
WOODLANDS,NS9,MRT,NS,9
WOODLANDS,TE2,MRT,TE,2
TUAS CRESCENT,EW31,MRT,EW,31
KALLANG,EW10,MRT,EW,10
TUAS WEST ROAD,EW32,MRT,EW,32
BUONA VISTA,EW21,MRT,EW,21
BUONA VISTA,CC22,MRT,CC,22
DOVER,EW22,MRT,EW,22
SEMBAWANG,NS11,MRT,NS,11
KEMBANGAN,EW6,MRT,EW,6
BUKIT BATOK,NS2,MRT,NS,2
BOON LAY,EW27,MRT,EW,27
BUKIT GOMBAK,NS3,MRT,NS,3
MARSILING,NS8,MRT,NS,8
BEDOK,EW5,MRT,EW,5
JOO KOON,EW29,MRT,EW,29
LAKESIDE,EW26,MRT,EW,26
TANAH MERAH,EW4,MRT,EW,4
YIO CHU KANG,NS15,MRT,NS,15
BRAS BASAH,CC2,MRT,CC,2
MACPHERSON,CC10,MRT,CC,10
MACPHERSON,DT26,MRT,DT,26
CITY HALL,EW13,MRT,EW,13
CITY HALL,NS25,MRT,NS,25
TAMPINES EAST,DT33,MRT,DT,33
TAMPINES WEST,DT31,MRT,DT,31
GEYLANG BAHRU,DT24,MRT,DT,24
BENDEMEER,DT23,MRT,DT,23
BENCOOLEN,DT21,MRT,DT,21
HARBOURFRONT,NE1,MRT,NE,1
HARBOURFRONT,CC29,MRT,CC,29
KENT RIDGE,CC24,MRT,CC,24
PUNGGOL,NE17,MRT,NE,17
TANJONG PAGAR,EW15,MRT,EW,15
ONE-NORTH,CC23,MRT,CC,23
STADIUM,CC6,MRT,CC,6
BUGIS,EW12,MRT,EW,12
BUGIS,DT14,MRT,DT,14
SOMERSET,NS23,MRT,NS,23
ORCHARD,NS22,MRT,NS,22
ORCHARD,TE14,MRT,TE,14
JALAN BESAR,DT22,MRT,DT,22
BAYFRONT,DT16,MRT,DT,16
BAYFRONT,CE1,MRT,CE,1
SENGKANG,NE16,MRT,NE,16
BUKIT BROWN,CC18,MRT,CC,18
MOUNTBATTEN,CC7,MRT,CC,7
KOVAN,NE13,MRT,NE,13
FORT CANNING,DT20,MRT,DT,20
FARRER ROAD,CC20,MRT,CC,20
DOWNTOWN,DT17,MRT,DT,17
ESPLANADE,CC3,MRT,CC,3
NICOLL HIGHWAY,CC5,MRT,CC,5
CALDECOTT,CC17,MRT,CC,17
CALDECOTT,TE9,MRT,TE,9
MARINA BAY,NS27,MRT,NS,27
MARINA BAY,TE20,MRT,TE,20
MARINA BAY,CE2,MRT,CE,2
LABRADOR PARK,CC27,MRT,CC,27
CHINATOWN,NE4,MRT,NE,4
CHINATOWN,DT19,MRT,DT,19
TAN KAH KEE,DT8,MRT,DT,8
TIONG BAHRU,EW17,MRT,EW,17
HILLVIEW,DT3,MRT,DT,3
KING ALBERT PARK,DT6,MRT,DT,6
MATTAR,DT25,MRT,DT,25
UBI,DT27,MRT,DT,27
BEAUTY WORLD,DT5,MRT,DT,5
KAKI BUKIT,DT28,MRT,DT,28
BEDOK NORTH,DT29,MRT,DT,29
DHOBY GHAUT,NS24,MRT,NS,24
DHOBY GHAUT,NE6,MRT,NE,6
DHOBY GHAUT,CC1,MRT,CC,1
WOODLEIGH,NE11,MRT,NE,11
NOVENA,NS20,MRT,NS,20
SERANGOON,NE12,MRT,NE,12
SERANGOON,CC13,MRT,CC,13
BEDOK RESERVOIR,DT30,MRT,DT,30
MARINA SOUTH PIER,NS28,MRT,NS,28
FARRER PARK,NE8,MRT,NE,8
BARTLEY,CC12,MRT,CC,12
DAKOTA,CC8,MRT,CC,8
PASIR PANJANG,CC26,MRT,CC,26
CLARKE QUAY,NE5,MRT,NE,5
BISHAN,NS17,MRT,NS,17
BISHAN,CC15,MRT,CC,15
MARYMOUNT,CC16,MRT,CC,16
HAW PAR VILLA,CC25,MRT,CC,25
LORONG CHUAN,CC14,MRT,CC,14
LAVENDER,EW11,MRT,EW,11
TAI SENG,CC11,MRT,CC,11
ROCHOR,DT13,MRT,DT,13
LITTLE INDIA,NE7,MRT,NE,7
LITTLE INDIA,DT12,MRT,DT,12
STEVENS,DT10,MRT,DT,10
STEVENS,TE11,MRT,TE,11
BUKIT PANJANG,DT1,MRT,DT,1
CASHEW,DT2,MRT,DT,2
SIXTH AVENUE,DT7,MRT,DT,7
TOA PAYOH,NS19,MRT,NS,19
WOODLANDS SOUTH,TE3,MRT,TE,3
POTONG PASIR,NE10,MRT,NE,10
HOUGANG,NE14,MRT,NE,14
BOON KENG,NE9,MRT,NE,9
UPPER CHANGI,DT34,MRT,DT,34
CHANGI AIRPORT,CG2,MRT,CG,2
BRADDELL,NS18,MRT,NS,18
BUANGKOK,NE15,MRT,NE,15
PROMENADE,CC4,MRT,CC,4
